Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
"GR","Rice Cultivation","49","Cuba","5312","Area harvested","27","Rice, paddy","2010","2010","3050","FAO TIER 1","ha","176429","","Official data",""
"GR","Rice Cultivation","49","Cuba","7225","Emissions (CH4)","27","Rice, paddy","2010","2010","3050","FAO TIER 1","kilotonnes","49.4001","Fc","Calculated data",""
"GR","Rice Cultivation","49","Cuba","5312","Area harvested","27","Rice, paddy","2011","2011","3050","FAO TIER 1","ha","208046","","Official data",""
"GR","Rice Cultivation","49","Cuba","7225","Emissions (CH4)","27","Rice, paddy","2011","2011","3050","FAO TIER 1","kilotonnes","58.2529","Fc","Calculated data",""
"GR","Rice Cultivation","49","Cuba","5312","Area harvested","27","Rice, paddy","2012","2012","3050","FAO TIER 1","ha","202708","","Official data",""
"GR","Rice Cultivation","49","Cuba","7225","Emissions (CH4)","27","Rice, paddy","2012","2012","3050","FAO TIER 1","kilotonnes","56.7582","Fc","Calculated data",""
"GR","Rice Cultivation","49","Cuba","5312","Area harvested","27","Rice, paddy","2013","2013","3050","FAO TIER 1","ha","197823","","Official data",""
"GR","Rice Cultivation","49","Cuba","7225","Emissions (CH4)","27","Rice, paddy","2013","2013","3050","FAO TIER 1","kilotonnes","55.3904","Fc","Calculated data",""
"GR","Rice Cultivation","49","Cuba","5312","Area harvested","27","Rice, paddy","2014","2014","3050","FAO TIER 1","ha","171572","","Official data",""
"GR","Rice Cultivation","49","Cuba","7225","Emissions (CH4)","27","Rice, paddy","2014","2014","3050","FAO TIER 1","kilotonnes","48.0402","Fc","Calculated data",""
"GR","Rice Cultivation","49","Cuba","5312","Area harvested","27","Rice, paddy","2015","2015","3050","FAO TIER 1","ha","112166","","Official data",""
"GR","Rice Cultivation","49","Cuba","7225","Emissions (CH4)","27","Rice, paddy","2015","2015","3050","FAO TIER 1","kilotonnes","31.4065","Fc","Calculated data",""
"GR","Rice Cultivation","49","Cuba","5312","Area harvested","27","Rice, paddy","2016","2016","3050","FAO TIER 1","ha","140016","","Official data",""
"GR","Rice Cultivation","49","Cuba","7225","Emissions (CH4)","27","Rice, paddy","2016","2016","3050","FAO TIER 1","kilotonnes","39.2045","Fc","Calculated data",""
"GR","Rice Cultivation","49","Cuba","5312","Area harvested","27","Rice, paddy","2017","2017","3050","FAO TIER 1","ha","112356","","Official data",""
"GR","Rice Cultivation","49","Cuba","7225","Emissions (CH4)","27","Rice, paddy","2017","2017","3050","FAO TIER 1","kilotonnes","31.4597","Fc","Calculated data",""
"GR","Rice Cultivation","49","Cuba","5312","Area harvested","27","Rice, paddy","2018","2018","3050","FAO TIER 1","ha","133716","","Official data",""
"GR","Rice Cultivation","49","Cuba","7225","Emissions (CH4)","27","Rice, paddy","2018","2018","3050","FAO TIER 1","kilotonnes","37.4405","Fc","Calculated data",""
"GR","Rice Cultivation","49","Cuba","5312","Area harvested","27","Rice, paddy","2019","2019","3050","FAO TIER 1","ha","108402","Im","FAO data based on imputation methodology",""
"GR","Rice Cultivation","49","Cuba","7225","Emissions (CH4)","27","Rice, paddy","2019","2019","3050","FAO TIER 1","kilotonnes","30.3526","Fc","Calculated data",""
"GR","Rice Cultivation","56","Dominican Republic","5312","Area harvested","27","Rice, paddy","2010","2010","3050","FAO TIER 1","ha","178430","","Official data",""
"GR","Rice Cultivation","56","Dominican Republic","7225","Emissions (CH4)","27","Rice, paddy","2010","2010","3050","FAO TIER 1","kilotonnes","48.9612","Fc","Calculated data",""
"GR","Rice Cultivation","56","Dominican Republic","5312","Area harvested","27","Rice, paddy","2011","2011","3050","FAO TIER 1","ha","174738","","Official data",""
"GR","Rice Cultivation","56","Dominican Republic","7225","Emissions (CH4)","27","Rice, paddy","2011","2011","3050","FAO TIER 1","kilotonnes","47.9481","Fc","Calculated data",""
"GR","Rice Cultivation","56","Dominican Republic","5312","Area harvested","27","Rice, paddy","2012","2012","3050","FAO TIER 1","ha","160903","","Official data",""
"GR","Rice Cultivation","56","Dominican Republic","7225","Emissions (CH4)","27","Rice, paddy","2012","2012","3050","FAO TIER 1","kilotonnes","44.1518","Fc","Calculated data",""
"GR","Rice Cultivation","56","Dominican Republic","5312","Area harvested","27","Rice, paddy","2013","2013","3050","FAO TIER 1","ha","160370","","Official data",""
"GR","Rice Cultivation","56","Dominican Republic","7225","Emissions (CH4)","27","Rice, paddy","2013","2013","3050","FAO TIER 1","kilotonnes","44.0055","Fc","Calculated data",""
"GR","Rice Cultivation","56","Dominican Republic","5312","Area harvested","27","Rice, paddy","2014","2014","3050","FAO TIER 1","ha","163157","","Official data",""
"GR","Rice Cultivation","56","Dominican Republic","7225","Emissions (CH4)","27","Rice, paddy","2014","2014","3050","FAO TIER 1","kilotonnes","44.7703","Fc","Calculated data",""
"GR","Rice Cultivation","56","Dominican Republic","5312","Area harvested","27","Rice, paddy","2015","2015","3050","FAO TIER 1","ha","159423","","Official data",""
"GR","Rice Cultivation","56","Dominican Republic","7225","Emissions (CH4)","27","Rice, paddy","2015","2015","3050","FAO TIER 1","kilotonnes","43.7457","Fc","Calculated data",""
"GR","Rice Cultivation","56","Dominican Republic","5312","Area harvested","27","Rice, paddy","2016","2016","3050","FAO TIER 1","ha","164186","","Official data",""
"GR","Rice Cultivation","56","Dominican Republic","7225","Emissions (CH4)","27","Rice, paddy","2016","2016","3050","FAO TIER 1","kilotonnes","45.0526","Fc","Calculated data",""
"GR","Rice Cultivation","56","Dominican Republic","5312","Area harvested","27","Rice, paddy","2017","2017","3050","FAO TIER 1","ha","174389","","Official data",""
"GR","Rice Cultivation","56","Dominican Republic","7225","Emissions (CH4)","27","Rice, paddy","2017","2017","3050","FAO TIER 1","kilotonnes","47.8523","Fc","Calculated data",""
"GR","Rice Cultivation","56","Dominican Republic","5312","Area harvested","27","Rice, paddy","2018","2018","3050","FAO TIER 1","ha","192604","","Official data",""
"GR","Rice Cultivation","56","Dominican Republic","7225","Emissions (CH4)","27","Rice, paddy","2018","2018","3050","FAO TIER 1","kilotonnes","52.8505","Fc","Calculated data",""
"GR","Rice Cultivation","56","Dominican Republic","5312","Area harvested","27","Rice, paddy","2019","2019","3050","FAO TIER 1","ha","195507","","Official data",""
