Domain Code,Domain,Area Code (FAO),Area,Element Code,Element,Item Code,Item,Year Code,Year,Source Code,Source,Unit,Value,Flag,Flag Description,Note
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2010,2010,3050,FAO TIER 1,ha,176429,,Official data,
GR,Rice Cultivation,49,Cuba,7225,Emissions (CH4),27,"Rice, paddy",2010,2010,3050,FAO TIER 1,tonnes,49400.1,Fc,Calculated data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2011,2011,3050,FAO TIER 1,ha,208046,,Official data,
GR,Rice Cultivation,49,Cuba,7225,Emissions (CH4),27,"Rice, paddy",2011,2011,3050,FAO TIER 1,tonnes,58252.9,Fc,Calculated data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2012,2012,3050,FAO TIER 1,ha,202708,,Official data,
GR,Rice Cultivation,49,Cuba,7225,Emissions (CH4),27,"Rice, paddy",2012,2012,3050,FAO TIER 1,tonnes,56758.2,Fc,Calculated data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2013,2013,3050,FAO TIER 1,ha,197823,,Official data,
GR,Rice Cultivation,49,Cuba,7225,Emissions (CH4),27,"Rice, paddy",2013,2013,3050,FAO TIER 1,tonnes,55390.4,Fc,Calculated data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2014,2014,3050,FAO TIER 1,ha,171572,,Official data,
GR,Rice Cultivation,49,Cuba,7225,Emissions (CH4),27,"Rice, paddy",2014,2014,3050,FAO TIER 1,tonnes,48040.2,Fc,Calculated data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2015,2015,3050,FAO TIER 1,ha,112166,,Official data,
GR,Rice Cultivation,49,Cuba,7225,Emissions (CH4),27,"Rice, paddy",2015,2015,3050,FAO TIER 1,tonnes,31406.5,Fc,Calculated data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2016,2016,3050,FAO TIER 1,ha,140016,,Official data,
GR,Rice Cultivation,49,Cuba,7225,Emissions (CH4),27,"Rice, paddy",2016,2016,3050,FAO TIER 1,tonnes,39204.5,Fc,Calculated data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2017,2017,3050,FAO TIER 1,ha,112356,,Official data,
GR,Rice Cultivation,49,Cuba,7225,Emissions (CH4),27,"Rice, paddy",2017,2017,3050,FAO TIER 1,tonnes,31459.7,Fc,Calculated data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2018,2018,3050,FAO TIER 1,ha,133716,,Official data,
GR,Rice Cultivation,49,Cuba,7225,Emissions (CH4),27,"Rice, paddy",2018,2018,3050,FAO TIER 1,tonnes,37440.5,Fc,Calculated data,
GR,Rice Cultivation,49,Cuba,5312,Area harvested,27,"Rice, paddy",2019,2019,3050,FAO TIER 1,ha,108402,Im,FAO data based on imputation methodology,
GR,Rice Cultivation,49,Cuba,7225,Emissions (CH4),27,"Rice, paddy",2019,2019,3050,FAO TIER 1,tonnes,30352.6,Fc,Calculated data,
GR,Rice Cultivation,56,Dominican Republic,5312,Area harvested,27,"Rice, paddy",2010,2010,3050,FAO TIER 1,ha,178430,,Official data,
GR,Rice Cultivation,56,Dominican Republic,7225,Emissions (CH4),27,"Rice, paddy",2010,2010,3050,FAO TIER 1,tonnes,48961.2,Fc,Calculated data,
GR,Rice Cultivation,56,Dominican Republic,5312,Area harvested,27,"Rice, paddy",2011,2011,3050,FAO TIER 1,ha,174738,,Official data,
GR,Rice Cultivation,56,Dominican Republic,7225,Emissions (CH4),27,"Rice, paddy",2011,2011,3050,FAO TIER 1,tonnes,47948.1,Fc,Calculated data,
GR,Rice Cultivation,56,Dominican Republic,5312,Area harvested,27,"Rice, paddy",2012,2012,3050,FAO TIER 1,ha,160903,,Official data,
GR,Rice Cultivation,56,Dominican Republic,7225,Emissions (CH4),27,"Rice, paddy",2012,2012,3050,FAO TIER 1,tonnes,44151.8,Fc,Calculated data,
GR,Rice Cultivation,56,Dominican Republic,5312,Area harvested,27,"Rice, paddy",2013,2013,3050,FAO TIER 1,ha,160370,,Official data,
GR,Rice Cultivation,56,Dominican Republic,7225,Emissions (CH4),27,"Rice, paddy",2013,2013,3050,FAO TIER 1,tonnes,44005.5,Fc,Calculated data,
GR,Rice Cultivation,56,Dominican Republic,5312,Area harvested,27,"Rice, paddy",2014,2014,3050,FAO TIER 1,ha,163157,,Official data,
GR,Rice Cultivation,56,Dominican Republic,7225,Emissions (CH4),27,"Rice, paddy",2014,2014,3050,FAO TIER 1,tonnes,44770.3,Fc,Calculated data,
GR,Rice Cultivation,56,Dominican Republic,5312,Area harvested,27,"Rice, paddy",2015,2015,3050,FAO TIER 1,ha,159423,,Official data,
GR,Rice Cultivation,56,Dominican Republic,7225,Emissions (CH4),27,"Rice, paddy",2015,2015,3050,FAO TIER 1,tonnes,43745.7,Fc,Calculated data,
GR,Rice Cultivation,56,Dominican Republic,5312,Area harvested,27,"Rice, paddy",2016,2016,3050,FAO TIER 1,ha,164186,,Official data,
GR,Rice Cultivation,56,Dominican Republic,7225,Emissions (CH4),27,"Rice, paddy",2016,2016,3050,FAO TIER 1,tonnes,45052.6,Fc,Calculated data,
GR,Rice Cultivation,56,Dominican Republic,5312,Area harvested,27,"Rice, paddy",2017,2017,3050,FAO TIER 1,ha,174389,,Official data,
GR,Rice Cultivation,56,Dominican Republic,7225,Emissions (CH4),27,"Rice, paddy",2017,2017,3050,FAO TIER 1,tonnes,47852.3,Fc,Calculated data,
GR,Rice Cultivation,56,Dominican Republic,5312,Area harvested,27,"Rice, paddy",2018,2018,3050,FAO TIER 1,ha,192604,,Official data,
GR,Rice Cultivation,56,Dominican Republic,7225,Emissions (CH4),27,"Rice, paddy",2018,2018,3050,FAO TIER 1,tonnes,52850.5,Fc,Calculated data,
GR,Rice Cultivation,56,Dominican Republic,5312,Area harvested,27,"Rice, paddy",2019,2019,3050,FAO TIER 1,ha,195507,,Official data,
GR,Rice Cultivation,56,Dominican Republic,7225,Emissions (CH4),27,"Rice, paddy",2019,2019,3050,FAO TIER 1,tonnes,53647.1,Fc,Calculated data,
GR,Rice Cultivation,93,Haiti,5312,Area harvested,27,"Rice, paddy",2010,2010,3050,FAO TIER 1,ha,60702,Im,FAO data based on imputation methodology,
GR,Rice Cultivation,93,Haiti,7225,Emissions (CH4),27,"Rice, paddy",2010,2010,3050,FAO TIER 1,tonnes,6798.6,Fc,Calculated data,
GR,Rice Cultivation,93,Haiti,5312,Area harvested,27,"Rice, paddy",2011,2011,3050,FAO TIER 1,ha,60192,Im,FAO data based on imputation methodology,
GR,Rice Cultivation,93,Haiti,7225,Emissions (CH4),27,"Rice, paddy",2011,2011,3050,FAO TIER 1,tonnes,6741.5,Fc,Calculated data,
